booking_id,carrier_code,vehicle,vehicle_capacity,total_amount,total_package,total_weight (tons),total_cbm,total_load_proportion_rate,transport_utilization_rate,num_of_pickup_point,pickup_points,last_pickup_point,num_of_destination_point,store_code,total_loading_time (days),pickup_time (days),delivery_time (days),delivery_month
TTPP-AA-01062024-153346,A,51C-053.21,1.4,49238480,100,1.003275,3.79911,70,100,1,A,A,1,F,0.006944444445,0.01527777778,1.780555556,Jun-2024
26-TI-AA-30062024-160795,B,50H-257.68,16,173865734,370,3.6320865,12.212067,45,100,2,AC,C,1,D,0.04027777778,0.04305555556,3.213194444,Jul-2024
60-TP-AA-31072024-168020,C,50LD-194.99,9,335002549,620,6.6581235,14.1009855,100,83,2,CB,B,1,F,0.04513888889,0.05486111111,0.1916666667,Jul-2024
26-TI-AA-31072024-168001,B,51D-610.50,16,505778731,1130,15.5890875,34.67436,100,100,2,CB,B,1,D,0.09930555555,0.05694444445,1.954166667,Aug-2024
19-TP-AA-31072024-168031,D,51C-558.65,5,174888081,400,3.986514,8.7543435,100,100,1,B,B,1,E,0.03472222223,0.01527777777,0.7611111111,Aug-2024
19-TP-AA-31072024-168032,D,51C-691.01,5,274430218,370,6.507879,13.271349,100,100,1,B,B,1,E,0.03472222223,0.01597222222,0.66875,Aug-2024
02-TP-AA-31072024-167981,E,51C-720.66,2.3,16696774,170,2.252355,3.9539325,100,100,1,C,C,1,E,0.02986111111,0.001388888893,0.6625,Aug-2024
02-TP-AA-01082024-168105,E,51D-336.62,2.3,12465538,210,1.925805,3.276399,100,100,1,C,C,1,E,0.01666666666,0.001388888893,0.6527777778,Aug-2024
60-TP-AA-31082024-175997,C,61E-034.09,9,305922415,830,8.613276,19.329828,100,100,2,AC,C,1,F,0.03055555556,0.0486111111,0.2104166667,Aug-2024
02-TP-AA-31082024-176006,E,51C-302.42,5,89527548,470,4.96062,6.658596,100,100,1,C,C,1,E,0.04166666666,0.02638888889,1.696527778,Aug-2024
02-TP-AA-31082024-176005,E,50H-206.50,5,316139844,540,6.2760075,11.5786545,100,100,1,C,C,1,E,0.03333333333,0.05,1.663194444,Aug-2024
60-TP-AA-31102024-189510,C,50H-052.71,9,387648332,790,9.0703935,19.3147395,100,100,2,CB,B,1,F,0.03333333333,0.03333333333,0.2513888889,Sep-2024
19-TP-BB-31102024-189348,D,51D-541.32,2,104531728,160,2.521113,6.2903505,100,100,1,B,B,1,E,0.01805555555,0.02222222223,0.8722222222,Sep-2024
60-TP-AA-01072024-160987,C,50H-052.71,9,1147323908,1000,10.528266,22.735356,100,100,2,CB,B,1,F,0.02291666667,0.1409722222,0.19375,Sep-2024
